geolocation_zip_code_prefix,Country,geolocation_city,geolocation_state,cnt
02119,Brazil,sao paulo,SP,23
02409,Brazil,sao paulo,SP,30
03929,Brazil,sao paulo,SP,63
05369,Brazil,sao paulo,SP,1
02727,Brazil,sao paulo,SP,20
04343,Brazil,sao paulo,SP,25
05043,Brazil,sao paulo,SP,36
04616,Brazil,sao paulo,SP,61
04841,Brazil,sao paulo,SP,66
02327,Brazil,sao paulo,SP,20
04183,Brazil,sao paulo,SP,11
02303,Brazil,sao paulo,SP,37
08160,Brazil,sao paulo,SP,114
02452,Brazil,sao paulo,SP,83
08210,Brazil,sao paulo,SP,214
02241,Brazil,sao paulo,SP,42
04919,Brazil,sao paulo,SP,3
04284,Brazil,sao paulo,SP,38
04281,Brazil,sao paulo,SP,24
03349,Brazil,sao paulo,SP,19
01259,Brazil,sao paulo,SP,69
03382,Brazil,sao paulo,SP,20
01408,Brazil,sao paulo,SP,107
08370,Brazil,sao paulo,SP,58
03378,Brazil,sao paulo,SP,43
04127,Brazil,sao paulo,SP,56
03947,Brazil,sao paulo,SP,19
01404,Brazil,sao paulo,SP,76
05334,Brazil,sao paulo,SP,38
04131,Brazil,sao paulo,SP,75
03608,Brazil,sao paulo,SP,13
03435,Brazil,sao paulo,SP,19
05009,Brazil,sao paulo,SP,68
01023,Brazil,sao paulo,SP,15
02271,Brazil,sao paulo,SP,33
04387,Brazil,sao paulo,SP,75
03139,Brazil,sao paulo,SP,36
01406,Brazil,sao paulo,SP,36
04606,Brazil,sao paulo,SP,68
02715,Brazil,sao paulo,SP,27
05590,Brazil,sao paulo,SP,92
02966,Brazil,sao paulo,SP,17
04050,Brazil,sao paulo,SP,28
03652,Brazil,sao paulo,SP,6
04578,Brazil,sao paulo,SP,69
03253,Brazil,sao paulo,SP,13
03637,Brazil,sao paulo,SP,28
02118,Brazil,sao paulo,SP,13
04748,Brazil,sao paulo,SP,7
03654,Brazil,sao paulo,SP,42
04645,Brazil,sao paulo,SP,24
03883,Brazil,sao paulo,SP,15
03702,Brazil,sao paulo,SP,16
03021,Brazil,sao paulo,SP,51
02315,Brazil,sao paulo,SP,37
02733,Brazil,sao paulo,SP,31
03379,Brazil,sao paulo,SP,22
05846,Brazil,sao paulo,SP,80
03448,Brazil,sao paulo,SP,36
02260,Brazil,sao paulo,SP,31
05879,Brazil,sao paulo,SP,83
04955,Brazil,sao paulo,SP,1
05877,Brazil,sao paulo,SP,47
03610,Brazil,sao paulo,SP,20
04239,Brazil,sao paulo,SP,1
05030,Brazil,sao paulo,SP,35
03009,Brazil,sao paulo,SP,18
05322,Brazil,sao paulo,SP,11
01038,Brazil,sao paulo,SP,9
02924,Brazil,sao paulo,SP,5
02534,Brazil,sao paulo,SP,28
03634,Brazil,sao paulo,SP,27
02755,Brazil,sao paulo,SP,17
02850,Brazil,sao paulo,SP,33
04066,Brazil,sao paulo,SP,9
02471,Brazil,sao paulo,SP,44
02342,Brazil,sao paulo,SP,31
02423,Brazil,sao paulo,SP,35
05366,Brazil,sao paulo,SP,65
05220,Brazil,sao paulo,SP,7
04170,Brazil,sao paulo,SP,7
04126,Brazil,sao paulo,SP,49
03952,Brazil,sao paulo,SP,21
01330,Brazil,sao paulo,SP,71
05301,Brazil,sao paulo,SP,24
04611,Brazil,sao paulo,SP,25
03870,Brazil,sao paulo,SP,12
05134,Brazil,sao paulo,SP,46
05356,Brazil,sao paulo,SP,29
05592,Brazil,sao paulo,SP,30
04031,Brazil,sao paulo,SP,5
08452,Brazil,sao paulo,SP,118
01017,Brazil,sao paulo,SP,36
04636,Brazil,sao paulo,SP,17
02933,Brazil,sao paulo,SP,22
05679,Brazil,sao paulo,SP,69
02938,Brazil,sao paulo,SP,28
08051,Brazil,sao paulo,SP,107
03604,Brazil,sao paulo,SP,12
04671,Brazil,sao paulo,SP,228
03948,Brazil,sao paulo,SP,11
03630,Brazil,sao paulo,SP,36
03359,Brazil,sao paulo,SP,32
03143,Brazil,sao paulo,SP,20
02908,Brazil,sao paulo,SP,2
04248,Brazil,sao paulo,SP,35
04690,Brazil,sao paulo,SP,6
08247,Brazil,sao paulo,SP,51
03185,Brazil,sao paulo,SP,100
03694,Brazil,sao paulo,SP,98
03609,Brazil,sao paulo,SP,25
02080,Brazil,sao paulo,SP,10
03430,Brazil,sao paulo,SP,18
04721,Brazil,sao paulo,SP,24
03901,Brazil,sao paulo,SP,5
08191,Brazil,sao paulo,SP,75
04037,Brazil,sao paulo,SP,92
03450,Brazil,sao paulo,SP,9
05075,Brazil,sao paulo,SP,52
02957,Brazil,sao paulo,SP,17
04125,Brazil,sao paulo,SP,69
05387,Brazil,sao paulo,SP,31
04332,Brazil,sao paulo,SP,47
04295,Brazil,sao paulo,SP,41
02404,Brazil,sao paulo,SP,82
08152,Brazil,sao paulo,SP,8
04113,Brazil,sao paulo,SP,50
01529,Brazil,sao paulo,SP,129
03679,Brazil,sao paulo,SP,30
02079,Brazil,sao paulo,SP,24
03812,Brazil,sao paulo,SP,25
02806,Brazil,sao paulo,SP,38
05048,Brazil,sao paulo,SP,33
05175,Brazil,sao paulo,SP,47
02035,Brazil,sao paulo,SP,42
02275,Brazil,sao paulo,SP,22
04828,Brazil,sao paulo,SP,25
03521,Brazil,sao paulo,SP,22
02990,Brazil,sao paulo,SP,61
04338,Brazil,sao paulo,SP,25
05049,Brazil,sao paulo,SP,30
04460,Brazil,sao paulo,SP,6
01224,Brazil,sao paulo,SP,146
08248,Brazil,sao paulo,SP,14
04055,Brazil,sao paulo,SP,78
02729,Brazil,sao paulo,SP,23
03524,Brazil,sao paulo,SP,27
04012,Brazil,sao paulo,SP,118
08110,Brazil,sao paulo,SP,115
03164,Brazil,sao paulo,SP,102
01542,Brazil,sao paulo,SP,41
05516,Brazil,sao paulo,SP,41
03376,Brazil,sao paulo,SP,27
05512,Brazil,sao paulo,SP,28
05565,Brazil,sao paulo,SP,64
05656,Brazil,sao paulo,SP,9
01444,Brazil,sao paulo,SP,15
01324,Brazil,sao paulo,SP,50
05312,Brazil,sao paulo,SP,4
03880,Brazil,sao paulo,SP,18
04076,Brazil,sao paulo,SP,43
02362,Brazil,sao paulo,SP,13
02273,Brazil,sao paulo,SP,38
05828,Brazil,sao paulo,SP,1
03110,Brazil,sao paulo,SP,56
04641,Brazil,sao paulo,SP,15
05016,Brazil,sao paulo,SP,125
03937,Brazil,sao paulo,SP,41
03169,Brazil,sao paulo,SP,58
03138,Brazil,sao paulo,SP,38
03506,Brazil,sao paulo,SP,14
04309,Brazil,sao paulo,SP,24
05601,Brazil,sao paulo,SP,10
05450,Brazil,sao paulo,SP,9
05693,Brazil,sao paulo,SP,1
02631,Brazil,sao paulo,SP,6
04349,Brazil,sao paulo,SP,138
05404,Brazil,sao paulo,SP,78
04231,Brazil,sao paulo,SP,23
03621,Brazil,sao paulo,SP,23
03173,Brazil,sao paulo,SP,13
03563,Brazil,sao paulo,SP,64
03669,Brazil,sao paulo,SP,44
02854,Brazil,sao paulo,SP,11
04310,Brazil,sao paulo,SP,138
03362,Brazil,sao paulo,SP,41
04605,Brazil,sao paulo,SP,67
08346,Brazil,sao paulo,SP,8
03680,Brazil,sao paulo,SP,43
05472,Brazil,sao paulo,SP,7
03150,Brazil,sao paulo,SP,39
04836,Brazil,sao paulo,SP,76
04952,Brazil,sao paulo,SP,4
04639,Brazil,sao paulo,SP,13
04811,Brazil,sao paulo,SP,45
03321,Brazil,sao paulo,SP,34
05707,Brazil,sao paulo,SP,74
03895,Brazil,sao paulo,SP,20
03940,Brazil,sao paulo,SP,15
03356,Brazil,sao paulo,SP,40
02232,Brazil,sao paulo,SP,22
02363,Brazil,sao paulo,SP,24
05323,Brazil,sao paulo,SP,78
03107,Brazil,sao paulo,SP,14
04648,Brazil,sao paulo,SP,58
03931,Brazil,sao paulo,SP,15
05670,Brazil,sao paulo,SP,15
03211,Brazil,sao paulo,SP,87
04155,Brazil,sao paulo,SP,15
04366,Brazil,sao paulo,SP,64
02245,Brazil,sao paulo,SP,40
03618,Brazil,sao paulo,SP,13
02876,Brazil,sao paulo,SP,5
02116,Brazil,sao paulo,SP,9
05545,Brazil,sao paulo,SP,27
05543,Brazil,sao paulo,SP,15
03288,Brazil,sao paulo,SP,40
05176,Brazil,sao paulo,SP,34
05752,Brazil,sao paulo,SP,78
02341,Brazil,sao paulo,SP,32
02942,Brazil,sao paulo,SP,20
05154,Brazil,sao paulo,SP,21
04006,Brazil,sao paulo,SP,124
03809,Brazil,sao paulo,SP,38
04851,Brazil,sao paulo,SP,150
05624,Brazil,sao paulo,SP,43
03806,Brazil,sao paulo,SP,45
04921,Brazil,sao paulo,SP,17
04734,Brazil,sao paulo,SP,55
01507,Brazil,sao paulo,SP,37
05445,Brazil,sao paulo,SP,87
04277,Brazil,sao paulo,SP,52
01233,Brazil,sao paulo,SP,78
05328,Brazil,sao paulo,SP,29
02956,Brazil,sao paulo,SP,14
03522,Brazil,sao paulo,SP,20
02952,Brazil,sao paulo,SP,36
05882,Brazil,sao paulo,SP,73
02207,Brazil,sao paulo,SP,9
05272,Brazil,sao paulo,SP,24
04916,Brazil,sao paulo,SP,30
05855,Brazil,sao paulo,SP,28
05594,Brazil,sao paulo,SP,52
03490,Brazil,sao paulo,SP,16
08440,Brazil,sao paulo,SP,131
05477,Brazil,sao paulo,SP,39
02213,Brazil,sao paulo,SP,17
04783,Brazil,sao paulo,SP,24
03142,Brazil,sao paulo,SP,30
04607,Brazil,sao paulo,SP,52
04535,Brazil,sao paulo,SP,47
04457,Brazil,sao paulo,SP,26
02929,Brazil,sao paulo,SP,42
04920,Brazil,sao paulo,SP,28
04294,Brazil,sao paulo,SP,45
02814,Brazil,sao paulo,SP,25
04627,Brazil,sao paulo,SP,17
02319,Brazil,sao paulo,SP,39
01236,Brazil,sao paulo,SP,17
08260,Brazil,sao paulo,SP,149
03605,Brazil,sao paulo,SP,27
05401,Brazil,sao paulo,SP,48
02870,Brazil,sao paulo,SP,27
02882,Brazil,sao paulo,SP,43
03974,Brazil,sao paulo,SP,21
04520,Brazil,sao paulo,SP,79
03731,Brazil,sao paulo,SP,36
03360,Brazil,sao paulo,SP,30
03404,Brazil,sao paulo,SP,48
08061,Brazil,sao paulo,SP,114
05279,Brazil,sao paulo,SP,1
02226,Brazil,sao paulo,SP,60
01151,Brazil,sao paulo,SP,87
04325,Brazil,sao paulo,SP,30
03165,Brazil,sao paulo,SP,70
02351,Brazil,sao paulo,SP,13
03643,Brazil,sao paulo,SP,12
04948,Brazil,sao paulo,SP,15
05224,Brazil,sao paulo,SP,1
04751,Brazil,sao paulo,SP,18
03024,Brazil,sao paulo,SP,13
04960,Brazil,sao paulo,SP,69
05513,Brazil,sao paulo,SP,10
03386,Brazil,sao paulo,SP,27
01412,Brazil,sao paulo,SP,13
08404,Brazil,sao paulo,SP,1
02272,Brazil,sao paulo,SP,17
03264,Brazil,sao paulo,SP,40
02125,Brazil,sao paulo,SP,29
08040,Brazil,sao paulo,SP,141
02944,Brazil,sao paulo,SP,14
08143,Brazil,sao paulo,SP,26
02133,Brazil,sao paulo,SP,31
04752,Brazil,sao paulo,SP,29
03003,Brazil,sao paulo,SP,12
05523,Brazil,sao paulo,SP,29
03572,Brazil,sao paulo,SP,230
01230,Brazil,sao paulo,SP,195
08235,Brazil,sao paulo,SP,102
03943,Brazil,sao paulo,SP,26
05184,Brazil,sao paulo,SP,19
05038,Brazil,sao paulo,SP,71
03411,Brazil,sao paulo,SP,47
03810,Brazil,sao paulo,SP,44
03033,Brazil,sao paulo,SP,20
01106,Brazil,sao paulo,SP,18
05789,Brazil,sao paulo,SP,37
04853,Brazil,sao paulo,SP,45
01101,Brazil,sao paulo,SP,3
04148,Brazil,sao paulo,SP,25
04950,Brazil,sao paulo,SP,51
03155,Brazil,sao paulo,SP,6
02753,Brazil,sao paulo,SP,5
03808,Brazil,sao paulo,SP,51
01007,Brazil,sao paulo,SP,22
02970,Brazil,sao paulo,SP,13
03343,Brazil,sao paulo,SP,80
03509,Brazil,sao paulo,SP,24
04897,Brazil,sao paulo,SP,6
02836,Brazil,sao paulo,SP,18
04542,Brazil,sao paulo,SP,106
04922,Brazil,sao paulo,SP,5
05857,Brazil,sao paulo,SP,102
05362,Brazil,sao paulo,SP,12
01446,Brazil,sao paulo,SP,15
04138,Brazil,sao paulo,SP,39
02950,Brazil,sao paulo,SP,14
04160,Brazil,sao paulo,SP,21
04552,Brazil,sao paulo,SP,130
04370,Brazil,sao paulo,SP,17
01431,Brazil,sao paulo,SP,12
04467,Brazil,sao paulo,SP,40
03517,Brazil,sao paulo,SP,35
04254,Brazil,sao paulo,SP,22
02330,Brazil,sao paulo,SP,49
02537,Brazil,sao paulo,SP,47
03289,Brazil,sao paulo,SP,15
03180,Brazil,sao paulo,SP,22
04411,Brazil,sao paulo,SP,31
04114,Brazil,sao paulo,SP,20
04064,Brazil,sao paulo,SP,23
01546,Brazil,sao paulo,SP,46
05161,Brazil,sao paulo,SP,25
05573,Brazil,sao paulo,SP,16
01411,Brazil,sao paulo,SP,96
01522,Brazil,sao paulo,SP,32
02911,Brazil,sao paulo,SP,40
05174,Brazil,sao paulo,SP,72
03126,Brazil,sao paulo,SP,37
03556,Brazil,sao paulo,SP,29
03193,Brazil,sao paulo,SP,32
02366,Brazil,sao paulo,SP,31
03951,Brazil,sao paulo,SP,66
02286,Brazil,sao paulo,SP,1
04075,Brazil,sao paulo,SP,23
01001,Brazil,sao paulo,SP,23
04032,Brazil,sao paulo,SP,14
03171,Brazil,sao paulo,SP,31
04692,Brazil,sao paulo,SP,2
02713,Brazil,sao paulo,SP,9
01317,Brazil,sao paulo,SP,108
05112,Brazil,sao paulo,SP,12
05686,Brazil,sao paulo,SP,33
04846,Brazil,sao paulo,SP,43
04654,Brazil,sao paulo,SP,8
04280,Brazil,sao paulo,SP,25
03950,Brazil,sao paulo,SP,21
03412,Brazil,sao paulo,SP,30
03070,Brazil,sao paulo,SP,23
03624,Brazil,sao paulo,SP,33
04129,Brazil,sao paulo,SP,17
04895,Brazil,sao paulo,SP,67
04705,Brazil,sao paulo,SP,100
02224,Brazil,sao paulo,SP,28
04926,Brazil,sao paulo,SP,6
05620,Brazil,sao paulo,SP,3
01331,Brazil,sao paulo,SP,91
03571,Brazil,sao paulo,SP,14
02450,Brazil,sao paulo,SP,58
01010,Brazil,sao paulo,SP,17
03269,Brazil,sao paulo,SP,27
01430,Brazil,sao paulo,SP,8
02422,Brazil,sao paulo,SP,92
05579,Brazil,sao paulo,SP,39
03939,Brazil,sao paulo,SP,22
05654,Brazil,sao paulo,SP,12
01152,Brazil,sao paulo,SP,37
04304,Brazil,sao paulo,SP,199
03029,Brazil,sao paulo,SP,21
03681,Brazil,sao paulo,SP,27
04194,Brazil,sao paulo,SP,46
02088,Brazil,sao paulo,SP,1
03423,Brazil,sao paulo,SP,26
03072,Brazil,sao paulo,SP,27
04735,Brazil,sao paulo,SP,68
02322,Brazil,sao paulo,SP,34
03584,Brazil,sao paulo,SP,29
05580,Brazil,sao paulo,SP,17
08450,Brazil,sao paulo,SP,109
04630,Brazil,sao paulo,SP,18
03088,Brazil,sao paulo,SP,74
04424,Brazil,sao paulo,SP,35
05001,Brazil,sao paulo,SP,83
03576,Brazil,sao paulo,SP,23
05073,Brazil,sao paulo,SP,16
03308,Brazil,sao paulo,SP,67
02047,Brazil,sao paulo,SP,6
04647,Brazil,sao paulo,SP,23
04094,Brazil,sao paulo,SP,5
05418,Brazil,sao paulo,SP,30
04430,Brazil,sao paulo,SP,72
04168,Brazil,sao paulo,SP,8
02501,Brazil,sao paulo,SP,4
04945,Brazil,sao paulo,SP,46
05638,Brazil,sao paulo,SP,41
05144,Brazil,sao paulo,SP,24
05138,Brazil,sao paulo,SP,64
03417,Brazil,sao paulo,SP,16
05602,Brazil,sao paulo,SP,4
03926,Brazil,sao paulo,SP,4
08253,Brazil,sao paulo,SP,161
04802,Brazil,sao paulo,SP,29
03081,Brazil,sao paulo,SP,105
01200,Brazil,sao paulo,SP,1
04917,Brazil,sao paulo,SP,57
04020,Brazil,sao paulo,SP,44
05688,Brazil,sao paulo,SP,73
05510,Brazil,sao paulo,SP,21
05371,Brazil,sao paulo,SP,16
08331,Brazil,sao paulo,SP,40
04675,Brazil,sao paulo,SP,138
03715,Brazil,sao paulo,SP,29
01009,Brazil,sao paulo,SP,34
04862,Brazil,sao paulo,SP,11
03167,Brazil,sao paulo,SP,42
03878,Brazil,sao paulo,SP,4
01245,Brazil,sao paulo,SP,10
02177,Brazil,sao paulo,SP,9
02515,Brazil,sao paulo,SP,18
03933,Brazil,sao paulo,SP,22
03426,Brazil,sao paulo,SP,25
03704,Brazil,sao paulo,SP,13
05453,Brazil,sao paulo,SP,23
01454,Brazil,sao paulo,SP,75
03186,Brazil,sao paulo,SP,71
03340,Brazil,sao paulo,SP,13
04038,Brazil,sao paulo,SP,94
04161,Brazil,sao paulo,SP,29
04638,Brazil,sao paulo,SP,21
04474,Brazil,sao paulo,SP,77
02984,Brazil,sao paulo,SP,13
02266,Brazil,sao paulo,SP,25
01309,Brazil,sao paulo,SP,96
04107,Brazil,sao paulo,SP,63
04260,Brazil,sao paulo,SP,10
05360,Brazil,sao paulo,SP,65
03887,Brazil,sao paulo,SP,8
04444,Brazil,sao paulo,SP,86
05517,Brazil,sao paulo,SP,10
02967,Brazil,sao paulo,SP,36
01156,Brazil,sao paulo,SP,76
05851,Brazil,sao paulo,SP,40
05017,Brazil,sao paulo,SP,161
04870,Brazil,sao paulo,SP,23
03405,Brazil,sao paulo,SP,31
03453,Brazil,sao paulo,SP,16
05858,Brazil,sao paulo,SP,64
03332,Brazil,sao paulo,SP,27
02930,Brazil,sao paulo,SP,19
05572,Brazil,sao paulo,SP,52
02939,Brazil,sao paulo,SP,8
05506,Brazil,sao paulo,SP,7
04265,Brazil,sao paulo,SP,26
02210,Brazil,sao paulo,SP,45
08412,Brazil,sao paulo,SP,45
03278,Brazil,sao paulo,SP,14
04537,Brazil,sao paulo,SP,99
02614,Brazil,sao paulo,SP,23
04340,Brazil,sao paulo,SP,26
02162,Brazil,sao paulo,SP,4
03238,Brazil,sao paulo,SP,30
04501,Brazil,sao paulo,SP,6
01137,Brazil,sao paulo,SP,22
02714,Brazil,sao paulo,SP,4
05331,Brazil,sao paulo,SP,37
03188,Brazil,sao paulo,SP,47
03930,Brazil,sao paulo,SP,32
03158,Brazil,sao paulo,SP,22
04156,Brazil,sao paulo,SP,42
03510,Brazil,sao paulo,SP,19
08141,Brazil,sao paulo,SP,94
04766,Brazil,sao paulo,SP,29
04477,Brazil,sao paulo,SP,9
03476,Brazil,sao paulo,SP,39
04112,Brazil,sao paulo,SP,61
04476,Brazil,sao paulo,SP,84
05712,Brazil,sao paulo,SP,68
05794,Brazil,sao paulo,SP,76
05894,Brazil,sao paulo,SP,77
02060,Brazil,sao paulo,SP,29
04658,Brazil,sao paulo,SP,60
02202,Brazil,sao paulo,SP,29
02981,Brazil,sao paulo,SP,9
03337,Brazil,sao paulo,SP,84
03474,Brazil,sao paulo,SP,20
02934,Brazil,sao paulo,SP,42
01416,Brazil,sao paulo,SP,125
05605,Brazil,sao paulo,SP,7
04677,Brazil,sao paulo,SP,32
03703,Brazil,sao paulo,SP,7
05650,Brazil,sao paulo,SP,8
01121,Brazil,sao paulo,SP,37
04409,Brazil,sao paulo,SP,37
05083,Brazil,sao paulo,SP,146
05158,Brazil,sao paulo,SP,50
02855,Brazil,sao paulo,SP,55
02765,Brazil,sao paulo,SP,31
04640,Brazil,sao paulo,SP,17
06050,Brazil,sao paulo,SP,1
08240,Brazil,sao paulo,SP,167
05132,Brazil,sao paulo,SP,31
04069,Brazil,sao paulo,SP,11
05013,Brazil,sao paulo,SP,97
03690,Brazil,sao paulo,SP,29
08233,Brazil,sao paulo,SP,1
05611,Brazil,sao paulo,SP,10
05433,Brazil,sao paulo,SP,71
01447,Brazil,sao paulo,SP,11
02909,Brazil,sao paulo,SP,1
04523,Brazil,sao paulo,SP,84
02925,Brazil,sao paulo,SP,106
03201,Brazil,sao paulo,SP,43
05173,Brazil,sao paulo,SP,3
05462,Brazil,sao paulo,SP,20
05705,Brazil,sao paulo,SP,77
05041,Brazil,sao paulo,SP,41
03959,Brazil,sao paulo,SP,33
05325,Brazil,sao paulo,SP,11
03820,Brazil,sao paulo,SP,104
03963,Brazil,sao paulo,SP,34
05625,Brazil,sao paulo,SP,91
05023,Brazil,sao paulo,SP,24
04679,Brazil,sao paulo,SP,73
03505,Brazil,sao paulo,SP,31
05416,Brazil,sao paulo,SP,99
03801,Brazil,sao paulo,SP,58
05532,Brazil,sao paulo,SP,12
05755,Brazil,sao paulo,SP,13
01011,Brazil,sao paulo,SP,17
05550,Brazil,sao paulo,SP,13
05596,Brazil,sao paulo,SP,66
05454,Brazil,sao paulo,SP,26
03648,Brazil,sao paulo,SP,59
02419,Brazil,sao paulo,SP,16
03004,Brazil,sao paulo,SP,12
05585,Brazil,sao paulo,SP,18
02931,Brazil,sao paulo,SP,13
02673,Brazil,sao paulo,SP,28
03586,Brazil,sao paulo,SP,26
05609,Brazil,sao paulo,SP,12
02089,Brazil,sao paulo,SP,2
03578,Brazil,sao paulo,SP,41
04847,Brazil,sao paulo,SP,24
01409,Brazil,sao paulo,SP,143
03140,Brazil,sao paulo,SP,23
05793,Brazil,sao paulo,SP,17
05367,Brazil,sao paulo,SP,63
04067,Brazil,sao paulo,SP,24
03886,Brazil,sao paulo,SP,7
02314,Brazil,sao paulo,SP,25
04507,Brazil,sao paulo,SP,16
04620,Brazil,sao paulo,SP,26
03241,Brazil,sao paulo,SP,6
04223,Brazil,sao paulo,SP,6
03934,Brazil,sao paulo,SP,14
02022,Brazil,sao paulo,SP,122
05274,Brazil,sao paulo,SP,18
04296,Brazil,sao paulo,SP,66
05105,Brazil,sao paulo,SP,12
04549,Brazil,sao paulo,SP,28
02762,Brazil,sao paulo,SP,15
08257,Brazil,sao paulo,SP,58
04313,Brazil,sao paulo,SP,245
05691,Brazil,sao paulo,SP,11
04347,Brazil,sao paulo,SP,52
05511,Brazil,sao paulo,SP,8
01040,Brazil,sao paulo,SP,11
04021,Brazil,sao paulo,SP,47
01242,Brazil,sao paulo,SP,48
03588,Brazil,sao paulo,SP,9
01189,Brazil,sao paulo,SP,1
03159,Brazil,sao paulo,SP,10
05604,Brazil,sao paulo,SP,4
02416,Brazil,sao paulo,SP,24
02242,Brazil,sao paulo,SP,66
04867,Brazil,sao paulo,SP,4
03134,Brazil,sao paulo,SP,74
03969,Brazil,sao paulo,SP,11
02888,Brazil,sao paulo,SP,1
02281,Brazil,sao paulo,SP,44
04439,Brazil,sao paulo,SP,7
03076,Brazil,sao paulo,SP,3
03736,Brazil,sao paulo,SP,44
01434,Brazil,sao paulo,SP,25
05317,Brazil,sao paulo,SP,11
01449,Brazil,sao paulo,SP,24
04246,Brazil,sao paulo,SP,5
01031,Brazil,sao paulo,SP,29
03121,Brazil,sao paulo,SP,51
05659,Brazil,sao paulo,SP,55
03949,Brazil,sao paulo,SP,29
02514,Brazil,sao paulo,SP,49
03530,Brazil,sao paulo,SP,24
03665,Brazil,sao paulo,SP,28
04373,Brazil,sao paulo,SP,16
02376,Brazil,sao paulo,SP,23
01225,Brazil,sao paulo,SP,37
08131,Brazil,sao paulo,SP,28
05608,Brazil,sao paulo,SP,9
05715,Brazil,sao paulo,SP,50
03508,Brazil,sao paulo,SP,62
02650,Brazil,sao paulo,SP,25
04744,Brazil,sao paulo,SP,3
05663,Brazil,sao paulo,SP,67
08115,Brazil,sao paulo,SP,24
03019,Brazil,sao paulo,SP,15
01504,Brazil,sao paulo,SP,96
04726,Brazil,sao paulo,SP,198
04149,Brazil,sao paulo,SP,36
04701,Brazil,sao paulo,SP,8
05651,Brazil,sao paulo,SP,8
04315,Brazil,sao paulo,SP,10
02552,Brazil,sao paulo,SP,25
04041,Brazil,sao paulo,SP,95
05728,Brazil,sao paulo,SP,33
01155,Brazil,sao paulo,SP,70
03054,Brazil,sao paulo,SP,24
01132,Brazil,sao paulo,SP,35
04723,Brazil,sao paulo,SP,8
05840,Brazil,sao paulo,SP,18
02652,Brazil,sao paulo,SP,66
03085,Brazil,sao paulo,SP,17
04693,Brazil,sao paulo,SP,39
